Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Arena,Chrome 69.0.3497.100,,2018-10-15 11:30:30,2018-10-15 11:30:44,14.364s,FAILED
,,,,,,
Test Cases/Backoffice/Login,Chrome 69.0.3497.100,,2018-10-15 11:30:30,2018-10-15 11:30:38,8.167s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-15 11:30:30,2018-10-15 11:30:33,2.997s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-15 11:30:33,2018-10-15 11:30:35,1.164s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-15 11:30:35,2018-10-15 11:30:36,1.063s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 11:30:36,2018-10-15 11:30:36,0.166s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-15 11:30:36,2018-10-15 11:30:36,0.177s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 11:30:36,2018-10-15 11:30:38,2.279s,PASSED
waitForElementVisible,Chrome 69.0.3497.100,,2018-10-15 11:30:38,2018-10-15 11:30:38,0.054s,PASSED
,,,,,,
Test Cases/Backoffice/Betting/Create_arena,Chrome 69.0.3497.100,,2018-10-15 11:30:38,2018-10-15 11:30:43,4.546s,PASSED
focus,Chrome 69.0.3497.100,,2018-10-15 11:30:39,2018-10-15 11:30:39,0.067s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-15 11:30:39,2018-10-15 11:30:39,0.030s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 11:30:39,2018-10-15 11:30:40,0.796s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 11:30:40,2018-10-15 11:30:40,0.112s,PASSED
getWindowIndex,Chrome 69.0.3497.100,,2018-10-15 11:30:40,2018-10-15 11:30:40,0.017s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-15 11:30:40,2018-10-15 11:30:42,2.019s,PASSED
switchToWindowIndex,Chrome 69.0.3497.100,,2018-10-15 11:30:42,2018-10-15 11:30:42,0.065s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 11:30:42,2018-10-15 11:30:42,0.298s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 11:30:42,2018-10-15 11:30:42,0.177s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 11:30:42,2018-10-15 11:30:42,0.150s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 11:30:42,2018-10-15 11:30:43,0.086s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.096s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.059s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.053s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.053s,PASSED
sendKeys,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.052s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.092s,PASSED
,,,,,,
Test Cases/Backoffice/Betting/Create_match,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.583s,FAILED
focus,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.052s,PASSED
click,Chrome 69.0.3497.100,,2018-10-15 11:30:43,2018-10-15 11:30:43,0.396s,FAILED
