Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
submitOneBet,Chrome 70.0.3538.102,,2018-11-14 18:26:52,2018-11-14 18:27:10,18.619s,FAILED
,,,,,,
Test Cases/dailyTesting/2.login/openBrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 18:26:52,2018-11-14 18:26:59,6.665s,PASSED
frontend.openBrowserFrontend.openbrowserFrontend,Chrome 70.0.3538.102,,2018-11-14 18:26:52,2018-11-14 18:26:59,6.391s,PASSED
,,,,,,
Test Cases/dailyTesting/2.login/frontendLogin,Chrome 70.0.3538.102,,2018-11-14 18:26:59,2018-11-14 18:27:08,9.423s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 18:26:59,2018-11-14 18:26:59,0.221s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-14 18:26:59,2018-11-14 18:26:59,0.181s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 18:26:59,2018-11-14 18:27:01,2.017s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 18:27:01,2018-11-14 18:27:02,0.106s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-14 18:27:02,2018-11-14 18:27:03,1.714s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-14 18:27:03,2018-11-14 18:27:08,5.002s,PASSED
,,,,,,
Test Cases/dailyTesting/6.betting/submitBet,Chrome 70.0.3538.102,,2018-11-14 18:27:08,2018-11-14 18:27:10,1.377s,FAILED
click,Chrome 70.0.3538.102,,2018-11-14 18:27:08,2018-11-14 18:27:09,0.290s,PASSED
waitForElementPresent,Chrome 70.0.3538.102,,2018-11-14 18:27:09,2018-11-14 18:27:09,0.071s,PASSED
click,Chrome 70.0.3538.102,,2018-11-14 18:27:09,2018-11-14 18:27:10,0.842s,FAILED
