Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
big7,Chrome 69.0.3497.100,,2018-10-18 14:44:53,2018-10-18 14:45:53,1m - 0.604s,FAILED
,,,,,,
Test Cases/Frontend/PlaceBet/RandomOddsAndAMount,Chrome 69.0.3497.100,,2018-10-18 14:44:54,2018-10-18 14:45:52,58.637s,FAILED
Statement - log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 69.0.3497.100,,2018-10-18 14:44:55,2018-10-18 14:44:55,0.001s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-18 14:44:55,2018-10-18 14:45:01,5.903s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-18 14:45:01,2018-10-18 14:45:02,1.661s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-18 14:45:02,2018-10-18 14:45:05,2.943s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 14:45:05,2018-10-18 14:45:08,2.857s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 14:45:08,2018-10-18 14:45:09,0.890s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 14:45:09,2018-10-18 14:45:10,0.984s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-18 14:45:10,2018-10-18 14:45:12,1.587s,PASSED
Statement - meron = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_Meronodds),Chrome 69.0.3497.100,,2018-10-18 14:45:12,2018-10-18 14:45:12,0.004s,PASSED
Statement - draw = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_Drawodds),Chrome 69.0.3497.100,,2018-10-18 14:45:12,2018-10-18 14:45:12,0.005s,PASSED
Statement - ftd = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_FTDodds),Chrome 69.0.3497.100,,2018-10-18 14:45:12,2018-10-18 14:45:12,0.004s,PASSED
Statement - wala = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/button_Walaodds),Chrome 69.0.3497.100,,2018-10-18 14:45:12,2018-10-18 14:45:12,0.003s,PASSED
"Statement - balance = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Frontend/MatchBetting/Balance), CONTINUE_ON_FAILURE)",Chrome 69.0.3497.100,,2018-10-18 14:45:12,2018-10-18 14:45:13,1.631s,PASSED
"Statement - log.logInfo(""User balance "" + balance)",Chrome 69.0.3497.100,,2018-10-18 14:45:13,2018-10-18 14:45:13,0.002s,PASSED
Statement - While (balance != 0),Chrome 69.0.3497.100,,2018-10-18 14:45:13,2018-10-18 14:45:52,39.059s,FAILED
